KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Psmd13	4740.539	1326.85	321	1264.813	1412.473	2063.317	1968.635	3344.998
Ifitm1	740.02	308.196	43.073	162.072	504.467	522.367	420.065	997.914
Ifitm3	7292.753	2580.42	488.107	1838.49	2694.127	3639.703	2679.984	5534.044
Ptdss2	663	196	36	293	290	300.999	178.001	524
Irf7	723.001	546	56.001	304.001	198	314	334	515.999
Hras	92	40.999	5	49.999	26	26	35.001	75.001
Taldo1	76716.875	26537.914	5639.933	23584.57	21985.322	32400.574	29390.859	54764.263
Tmem80	1151	515.999	98.999	529	299.61	397.998	410.263	835.562
Pidd1	323	96	31	118	88.999	176	148.999	281.001
Rplp2	3422.66	1280.82	262.637	668.206	1135.377	2132.38	1523.199	2905.753
Pnpla2	1676	623	115.001	608	373	887.001	638.001	1270
Cd151	2330.627	942.692	222.391	764.729	897.979	1146.808	857.416	2057.559
Tspan4	208.413	95.506	10.143	101.936	108.559	149.146	112.23	257.691
Chid1	1128.586	432.493	85.857	408.063	344.441	521.854	335.768	1124.309
Tmem192	2525.886	861.839	154.919	719.717	876.438	890.642	903.613	1695.026
Apool	676	363.999	35	206.999	316	317	232.001	444.999
Chm	805	296	69	253	505.001	424	375	697
Crcp	3179	1306	243	945.001	1429.999	1118	1189	2732
Asl	4783	2132	337	1774	1526.001	1835	1699.999	3539
Gusb	9677.999	3192	722	3272	3611	4571	3889.999	8171
Sumf2	1148.991	415	87.948	397.955	290.962	368.998	339.996	833.944
Tm9sf2	11432	4233	800	3576	4118	4449	3969	9054
Clybl	370	137	38	203	148	166	157	237
Farp1	203	82	23	161	42	52	36	154
Tnrc6c	2540	1104.006	175	955.999	599.966	890.12	813	1564
Tmc6	1323.001	341	87	448.999	241.001	475	476.999	806.001
Tk1	327	163	54.999	191	81.523	167.152	122	342
Cant1	2840.999	1108.999	128	922	404	1324	1085	2490
Cbx8	220.001	134	19	87	79	99	70	160
Gaa	2973.999	734	134	963	503	1208	1158	2112
Eif4a3	3423.755	1277.184	248.993	1123.024	1316.432	1662.269	1375.258	2883.313
Rptor	1013.001	400.999	75.999	475.011	200.999	435.001	394	902.972
Pde8a	435	212	30	182	170	159	200	392
Tma16	7466.157	3956.079	752.323	3324.419	2886.666	2812.544	2767.394	6420.521
Zfp202	62	40	8	15	51	24	66	105
Copg2	1471.644	385	72	392	300.295	618.716	591.689	1000.132
Mkln1	7608.998	3101.999	625	2867.998	2939	2875	2698.784	6086.001
Bach1	6633	2264	582.001	2616	1656	2708	2380	4702
Cct8	7833.838	2172.864	500.841	1927.781	2505.19	3759.893	3402.222	5651.481
Usp16	1952.163	577.137	128.159	646.217	689.81	887.107	694.776	1523.518
Phf6	1251.001	305	75.999	336	381	477	486	879.775
Hprt	4676	1184	250	1075	1472	1909	1748	3012
Ccdc51	151	107	33	158	90.999	105	85	203
Atrip	1242.057	403.647	112.902	472.531	279.161	493.404	407.936	953.849
Shisa5	43967.999	16469.001	3117.001	14519	9932	17808	15645.998	31282.001
Pfkfb4	4578.001	1493.001	307	1361.001	1159	2275	1651	3548
Uqcrc1	21559.999	9874.001	1789	8500	8891.999	8053	7288	16249
Alox5	1671.001	529	103	615	423	785.999	554.001	1332
Marchf8	713.999	356.999	42	119.999	181.999	262.999	321	816
Wdr73	523	227.002	40	177.001	126.001	224.999	164.999	430
Sec11a	7220	3556.001	676	2908	2951.921	2746	2959.113	5822
Pigq	2416.49	1075.824	182.98	1143.151	856.825	1033.528	904.432	1673.739
Rab40c	411	237.997	19	249	92	174.936	186.974	422.889
Mettl26	330.001	136	42	123	116	180.001	135	241
Mcrip2	157	80	23	78	37	60	49	56
Rhot2	590.273	197.078	56.912	246.11	98	296.991	213	533.077
Jmjd8	289.085	71.376	19.058	61.946	78.478	155.968	156.755	262.467
Wdr24	668	269	38	188	168	288	240	634
Prps2	378	103	22	44	129	101	155	161
Sdc3	1917	829	123.539	645.088	126	763.057	597.887	1564.377
Hadha	2652.999	857	203	739	1112.001	1377	1131.001	2380
Tyms	201.001	158	27	52	53	59	62	159
Hspa4l	1192.999	456	64.001	452	325.001	529	390	1066.001
Plk4	809	412.03	39.008	194.001	160.579	269.113	246.001	410.369
Mfsd8	672.111	162	32	173.576	260.756	271.634	267.311	534.223
Larp1b	64	49.999	8	22	98	39	29	73
Jade1	259	64.999	28	28.01	150.037	100.999	76.993	201
D3Ertd751e	230	63.001	19	52	114.001	40	56	67
Ly96	658	289	57	183	416	455	404	644
Atp5c1	7245	2783.94	539.999	2314	2867.998	3290.999	2943.998	5662.122
Taf3	2240.08	918.657	197.707	1002.801	902.909	761.835	711.745	1356.064
Exosc7	2018	1044.001	189	795	812.001	715.999	576.803	1674
Zdhhc3	3091.194	1019.613	206.527	812	960.001	1313	1117	2360.608
Slco3a1	213	55	21	40	132	86	79	149
Pgm1	824.83	293	30	330	246.793	274.527	290	448.866
Slc25a10	652	120	41	246	221	243.141	253	496
Hgs	5480	2357	443	2267.999	1073	2636	2224	4493
Rpl14	4449.337	1414.277	340.452	1311.181	1794.824	2414.617	2082.914	3571.336
Rassf3	1104	378	89	479	380.004	357	337	664
Ccr1	6476	2142	601	1491	2998	2943	2951	6735
Itgb1	16040	4896.999	958	3767	4463	6622	6163	11698
Nrp1	6893.999	3058	569.999	2079	1907.984	2857	2585.705	5774.182
Sec61a2	1016.283	386.767	94.213	230.108	250.15	321.276	384.746	867.926
Nudt5	2638.687	1127.226	246.786	1248.891	1084.85	868.723	840.236	1891.058
Zfp282	740	219	36	233	71	262	216	452
Pdia4	7225	2415	519	2344	1784	2672	2735	6004
Iscu	14812.928	5896.721	1118.993	5242.865	5258.689	5199.671	4893.789	9950.616
Fam20c	10609	3844	757	3576	2399.001	4398.001	5170.999	10806
Dnaaf5	108.327	103.882	9	62	30	71.908	96.742	146.996
Get4	3885.97	1325.991	249	1278.973	1026.999	1458.999	1536.964	2553.94
Xiap	2337.999	645.001	128	952	599	950.001	814.001	1782.997
Stag2	2006	524	155	586	598.001	945.001	636	1588
Higd2a	1052	313	51	288	373	414	414	629
Nop16	3222	1801	352	1497	1615	1329	1245	2611
Arl10	1062	266	56.999	352	200.001	440	345	690.001
4833439L19Rik	7640.61	2564.252	585.949	2207.494	2152.53	2957.943	2643.316	5879.933
Thoc3	1923	767.999	129	521	728.999	637	647	1518
Faf2	3878	1487	264.001	1439	1283	1784.001	1488.999	3022.999
Tspan17	826	374.001	63	404	288	342	329.999	613
Hk3	949.001	330	65	284	331.999	556	548	895.999
Uimc1	1523.025	594.118	90.521	473.703	498.233	871.538	794.432	1349.377
Smad7	282	128	23	87	120	117	55	147
Casp1	2657	904	230	583	1187.001	1087.001	942.001	2074.001
Kbtbd3	104	101	13	78	92	72	84	103
Aasdhppt	1057.999	495.999	67	349	413.938	297.999	290	585.999
Cwf19l2	2008	566	141	411.999	620	680.001	633	1260.999
Alkbh8	353	125	17	124.999	270	172	144	285
Lypla1	4837.743	1787	296	1623.054	1924.968	2000.379	2078.999	3735.997
Rb1cc1	4230.657	1734.243	356.33	1173.462	1437.406	1262.649	1201.762	2726.275
Sgk3	7676	2753	505.001	2354	2717	2835.002	2666	5525
Cops5	2410.532	902.994	155	691	1011	1074.998	984.432	1918
Stau2	56.999	45	17	48	85	42.999	48	128
Rdh10	676	252	60	351	230	281	287	465
Terf1	865.225	310.061	82.069	242.911	461.249	452.201	321.467	754.736
Gsta3	909	381	71	300	367	391.001	380	743
Tram1	23109	10621	1935	8366	9921	8596.999	8316	18680.999
Lactb2	993	291	64	271	470	452	375	632
Slco5a1	137	37	18	11	15	47.999	25	64.001
Ube2w	2353.028	827.999	160	598.047	838.996	874	757	1635
Tmem70	1314.001	593	143	593	748	565	588.999	1385.548
Pikfyve	1005.999	483.216	106.001	506	655.733	500.999	379.999	901.047
Idh1	22756	10089	1838	7856	7982	6851	6104	15628
Mettl21a	562	178	33	222	159	261	188	366
Creb1	3365	1120	226.001	1050	993.999	1261.999	1186	2238.896
Klf7	1524.001	775.001	169	707	858.001	766.009	692.999	1616
Fastkd2	1072	487	88.001	415.999	542	516.001	461	1070
Eef1b2	1429.931	559.967	110	707	482.899	638	511	1175.531
Ndufs1	2428.832	886.953	154.001	972	855.997	1084.843	1016.99	1824.475
Nrp2	3651	1166	290.999	1316	850	1956.001	1604.001	3897
Maip1	966.851	416.367	57.233	419.808	266.517	291.457	366.319	924.183
Mob4	2370.902	819.778	197.999	743.001	879.99	898	901	1707.999
Hspd1	6512.451	2279.839	455.549	1709.407	2529.279	2397.112	2453.901	4611.51
Coq10b	894.968	293.718	57	259.775	350.587	408.439	476.49	882.855
Sf3b1	15119.001	5251.121	1115.001	4159	6472	6207	5604.999	11162.999
Slc39a10	804	348	43	257	280	324	235	656
Slc40a1	6331.999	2670	405	1988	1378	1999.001	1693	5130.558
Wdr75	997.997	439	71	303.999	510.999	483	380.001	720
Lancl1	539	220.001	36	237	188	261	283.999	541.001
Acadl	856	215	45	303	291	446	389	628
Kansl1l	339.475	119.74	25.098	81.697	158.218	97.312	124.678	195.719
Rpe	1838.031	605.858	110.901	510.386	662.354	582.963	709.441	1320.512
Cd28	345	125	27	120	188	168	134	511
Raph1	2227	953	235	1142	680	1022	815	1634.998
Carf	468.999	343.434	65.042	333.046	375	145.999	146.181	385.804
Wdr12	896.994	376	79.958	378.146	389.982	510.994	373.025	929.389
Nop58	1768	793	134	637.62	815.031	889.999	795.001	1643.83
Sumo1	15013.886	7037.838	1274.996	5522.964	7190.685	4770.884	4751.85	10331.73
Als2	1325.612	249.999	80.458	391.157	285	474.679	546.083	837.892
Stradb	754.999	232	71	362	320.109	376	329	449.999
Trak2	1252	734	98	497	478	698	662	1565.999
Casp8	4679.303	1592.779	401.881	1312.716	1591.974	2197.411	1827.488	3517.152
Cflar	4462.994	2048.896	360.003	1878.977	1379.774	1797.008	1647.589	3392.852
Ndufb3	1113	644	101	260	602	590	506	874
Clk1	4853.999	2547.999	406	2496.999	1707.999	1765	1881.001	3788.999
Ppil3	451.051	218.012	37.672	262.723	305.593	206.607	157.187	296.818
Nif3l1	844.048	434.075	61.441	349.455	470.391	454.945	387.705	763.088
Orc2	221.901	315.912	51.887	221.822	214.016	311.447	229.107	697.095
Poglut2	506	252	52	222.999	242	151	215	462.999
Ercc5	725	322	58	365	240	174	228	496
Tex30	888.001	410	90	367	427.001	367.999	297	738.998
Ptp4a1	20680.22	7104.006	1494.094	5842.629	8223.221	7501.403	7882.097	15986.58
Il18rap	69	12	0	1	57	37	3	12
Il1r2	133	49	6	28	48	83	79	120
Map4k4	1068.001	440	117	484.999	343	490	428	881.999
Pdcl3	4680	1800.999	380	1470	1906	1868	1622	3099.001
Rev1	1071.672	490.641	105.074	383.445	273.512	302.254	429.993	1074.499
Eif5b	4284.329	1890.359	348.927	1421.555	2280.487	2130.744	1800.968	3905.5
Mrpl30	1332	581.999	153	573	764	716.999	613.999	1149
Mitd1	470	144.001	36	151	164.011	209	176.062	445.355
Stk17b	3252	805	195.999	528	1209	1445	1274	1920
Asnsd1	1472.76	302.168	91.001	353	329	614	552	937
Osgepl1	209.51	93	18	57	167.999	101	110	230
Ormdl1	1284.592	593	103	398	504	426	448	794
Pms1	424.998	171	39.001	137.999	192	205.001	103.001	233.974
Inpp1	419	85	33	135.001	109.001	105	154	208
Gls	1142.245	269.268	53	285	415.472	380.988	399.001	836.417
Stat1	4411	2021	338.999	1358.299	2154.001	1706.146	1967.002	4285.057
Nabp1	1316.001	379	118	322.999	550.001	729	628.999	1119.999
Mgat4a	2974.001	1296	230	1281	1663	891	734	1724
Unc50	3857	1582	330	1266	1739	1585.999	1459	2764
Coa5	4284	1664	266	1267	1767.998	1940	1637	3419
Inpp4a	5434.999	3114	503.001	3063.001	2192	1513	1487	3323
Tmem131	964	271.002	53	272.999	346	283	237	718
Plekhb2	6988	3097	442	2743	2271	3050.001	2948	6194.999
Ptpn18	894.376	427	80.825	267.565	227.192	435.694	343.759	753.294
Imp4	4810.192	2179	357	1860.453	2030.06	2008.306	1845.01	3563.947
Dst	371.56	136.719	33.631	149.976	227.542	135.594	157.912	270.199
Prim2	600.002	301.002	45.001	252.002	329.003	184.001	201.004	307.003
Zfp142	471.382	210.237	26.191	268.266	85	236.113	175.531	416.655
Rhbdd1	2056	946	139	728	673	742	792	1458
Mff	2384.291	619.001	153	508.193	847.886	1099.309	993.38	1907.955
Fam135a	225	75.999	21	83	74	69	103.999	173.001
Sdhaf4	550	145	32	114	230	184	155	238.997
Smap1	624.785	308.665	52.366	207.893	351.646	234.003	196.093	475.476
B3gat2	74.216	24.335	6.634	35.107	57.353	22.997	12.907	62.524
Ogfrl1	746	239.001	55	236	292.956	141	177	453.917
Agfg1	548	230.999	47	83	331	162	208	480.999
Nhej1	293	60	21	125	69	130	67	214
Cyp27a1	380	275	41	138	207.001	259	187	415
Rnf25	1241.999	633.999	129.999	621	459	374.999	326.001	939
Bcs1l	146	87	12	47	48.001	57	68	137
Cnot9	5596.999	2580.001	393	2768	2427	1621	1700	4086
Ctdsp1	2161.294	943.522	194.208	1077.212	746.27	1073.816	889.336	2199.401
Slc11a1	45825.999	15988.999	3322.999	14192.999	11904	21545.001	19015.001	35515.965
Pnkd	1597	905	151	890.001	715.999	722	660.999	1351.001
Ppm1f	1068	413	66	397	189	464	326	672
Atic	1037	313	66	476	288	516	420	803.999
Fn1	52983.705	18780.964	3262.923	15671.961	13037.743	30241.128	22549.401	58445.124
Zfand2b	2507	1025	230	1036.999	947	985	988	1915
Abcb6	655.492	100.786	38.747	289.391	107.495	242.029	241.953	460.549
Ankzf1	1505.104	472.141	122.249	437.609	479.106	604.044	487.459	1135.082
Glb1l	334.896	119.86	19.752	95.391	99.894	132.955	112.541	295.918
Stk16	1642.228	708.376	134.018	522.594	524.26	747.942	642.887	1299.213
Tuba4a	1044.898	202.75	48.983	187.236	251.177	690.167	451.114	647.453
Dnajb2	518	201.001	48	213	115	294.001	270	404.999
Dnpep	3025	1448	229.999	1435	1001	1294.001	1131	2391.001
Stk11ip	1004.999	225	57	445.001	215	564.001	501	731.001
Trip12	5898.998	2279.002	428	2355	1960.13	2158	2269	4399.999
Sp100	1815.8	591.424	112	374.216	587.683	742.493	648.059	1478.125
Itm2c	8494.001	2774	639	2879	2508	3325	2970	6729
Psmd1	8452.325	3065	603	2203.689	2904	3649.001	3293.82	6499.395
Ncl	7758.999	2702.006	565	2342.999	2868.99	3408.997	3133.008	5970.005
Ptma	22194.583	6640.238	1743.567	5680.932	10239.997	12671.544	11260.186	18315.769
Pde6d	2644.001	1166	193	1217	1045.001	957	936	1886.001
Cops7b	1654	741	79	604.001	366.999	538.001	607	1058.999
Farsb	1082	431	79	210	266	494.992	410	825.258
Mrpl44	703.988	274	51	252	180	350	278	522
Eif4e2	3147.001	1350.001	302	1149	1379	1645.999	1367.001	3053.999
Ndufa10	2971.002	1131	227.001	742.001	962.999	1383.001	1203	2152.001
Rnpepl1	593	368.999	54	183.001	287	283	224	607.001
Capn10	396.68	160.361	23	120.366	44.254	175.645	182.5	280.686
Gpr35	4127	1479	264.999	1462.999	965	1677	1638	2980.999
Mterf4	212.299	9.842	6	78	66	82.515	56.565	142.385
Ppp1r7	2484	1263.001	187	1251.93	1312	913	907	1901.967
Septin2	36912.426	23087.213	3226	19027.582	22114.494	9555.647	10356.741	25177.741
Stk25	1071.993	482.977	93.516	564.678	265.988	569.471	376.667	943.94
Thap4	1448.807	575.003	117.441	628.962	391.506	481.378	500.969	1107.492
Atg4b	3452	1003.999	178	910.001	772.999	1329	1158	2392
Dtymk	848.001	325	62	263	469.999	296.001	274	623
Ing5	2383	1081	289	849	1218	926.001	985	2185
Pdcd1	154	50	17	23	17	43	69	139
Inpp5d	10457.001	3754.999	737.999	3201	2353	5043.001	4088.001	8195.001
Atg16l1	1337.001	576	136.001	630.001	326	602	490.001	1478.999
Lrrfip1	15209.999	6050	1186.002	5116.001	5247	6078.001	5516.999	11434
Scly	830.981	360	77	431.984	245.001	472.999	380	945.962
Ilkap	2847.121	1267.743	222.994	1272.645	1085.954	1214.978	1085.999	2014.856
Asb1	620	320	62.999	500	327	269	255	643
Hdac4	1286	505.18	140.001	481	461.001	405.733	391	764
Serpinb8	5194.999	2051.999	399	1519	2205.001	2236.999	2158.999	4682
Cln8	5715	2093	463	2020	1595	2668	2371	5126.001
Relch	2657.998	1089.999	212	1471	752	927	979	1901.001
Tnfrsf11a	1597	671	147	535	615	546	545	1113.027
Gin1	572	203	23	160	143.823	118	174	266.998
Pam	371	239.999	47.001	200	171	219.001	182	439
Ccdc93	748	351.001	86	339	165.001	449	274	895
Actr3	32842.087	11624.627	2386.487	10047.535	11752.069	12714.841	12459.644	26074.462
Slc35f5	1289	477	88	423	377	645.999	389	1149
Ccnt2	5725	2951	594.001	2822	2507.999	2201.999	2147.127	4649
Ubxn4	4659.999	2091	388	1778	2425	2161.999	1880	3732
Mcm6	1186	624	90	635	471	458	453	1007
Dars	3185	1180	287	1079	1717	1462	1178	2560.001
Rgs18	83	58	8	17	52	49	49	140
Rgs1	228.999	57.999	13	109	151	138	108.999	303
Rgs2	2481.001	651	174	589	1395.001	1251	1062.001	1617
Cdc73	1036.256	309.84	55.001	352.755	315.353	249.112	305.062	543.676
Cfh	2704.999	987.99	285	780	1243.622	978.93	946.999	2374.759
Tsn	7829	3725	649	3519.999	3383.96	2885.001	3062.001	6339
Nifk	1218	354	84	412	524	553	469	1139
Epb41l5	38	23	5	16	17	77.015	31	44.006
Ptpn4	66	18	3	16	115.999	31	21	124
Dbi	4070	1666	337	1066	1650.996	1508	1386.998	2861.997
3110009E18Rik	95	20.001	8	21	39	50	46	136
Steap3	192	80	10	31	45	79	65	216
Marco	109	21	11	139	71	88	65	119
Nek7	10719.537	5825.803	946.881	5189.561	4246.161	3593.001	3426.575	8227.792
Ptprc	27117.001	10066.999	1976	7495.999	11816.001	11579.999	10867.001	21019
Ddx59	186	82	23	73.977	85	123	113	182
Pfkfb2	119	86	23	98.001	96.001	103	87	159
Tmem9	66.001	28	7	59	45	51	37	58
Csrp1	627	141	30	192	82	213	173	272
Srgap2	3947	1676.999	344	1785	1189	1741	1671	3517.041
Arl8a	742	379.999	54	398.999	298	331	291.999	754
Eif2d	585.999	145	45	161.986	105.022	234.049	274.079	458.077
Ube2t	230	88	8	45	106	47	95	117
Rassf5	8463	3737	670	2886.015	3256.978	3522.952	3061.921	6199.923
Rab29	3552	1315	270	1272	1252	1410	1188	2423.001
Nucks1	1468.793	511.56	174.659	595.708	546.464	685.453	653.921	1062.829
Elk4	1195	477	164.001	717.999	504.001	475.001	413.022	1128
Rbbp5	759.803	256.91	69	252.001	273.916	458.86	348.792	680.994
Klhl12	1138.001	363.001	107	523	405.001	448	590	722.999
Cyb5r1	1923	762.001	126.001	669.001	565	859	746	1472.001
Adipor1	23904	9793	1689	9119	7527.001	8173	7937	17138.972
Ppfia4	779.001	313	77	267	130	388	353	650
Atp2b4	1133	544	92.001	724.001	298.999	433	403.001	881
Tor1aip1	6332.053	2086.847	544.569	2351.947	2093.842	2730.11	2412.431	4676.729
Xpr1	1609.001	721	179	672	546	695.059	696	1293.999
Stx6	3571.999	1225	279	1243.001	1152.881	1598	1351	2445.316
Glul	5881.57	3734.625	588.734	3050.001	3084.304	2469.402	2618.405	5928.28
Lamc1	275	136	16	114	99	107	141	227
Ncf2	12536.19	4493.256	919.673	3969.841	3682.143	5028.101	4627.694	8964.157
Rgl1	788	364	48	340	384	596	620	1296.023
Niban1	4552	1507.001	375	1155.001	1119	1641	1526	2639
Rnf2	2541	991	126	828.81	1090	852	796	1706.756
Coq8a	155.001	40	9.923	65.997	113.99	88	62	170
Cdc42bpa	152.998	28.001	15.078	9.003	104.011	24	19	25
Ahctf1	1956.596	982.011	171.978	901.088	845.158	855.392	827.189	1643.144
Tfb2m	772.162	224.635	58	162.715	220	336.7	258	675.5
Efcab2	201	102	9	53	83	111	68	150
Parp1	2690	739	117	659.999	735.999	1133	864	1816.002
Acbd3	1031	600	83	512	448	465	408	907
Cox20	2372.995	1064.649	163.963	655.588	913.441	1018.225	915.202	1817.854
Desi2	1935.993	849.987	193	876.945	703.827	761.94	749.991	1649.961
Sdccag8	1377	447.001	105.537	448	544.999	460	431.999	1195.999
Capn2	4703.468	1675.697	349.922	1824.767	1198.278	2367.831	2009.46	4644.19
Trp53bp2	1146.92	427	105	544	305	545	512	916
Srp9	6933.37	3416.105	561.635	2545.349	2609.763	2764.705	2659.346	5405.102
Nvl	2913.317	1270.212	279.317	1231.943	915.369	1072.929	925.969	2504.418
Tmem63a	1508	641	118	510	171	602	521	1316.999
Pycr2	1563	547	110	494	366	649.999	632	927
Opn3	152.076	29.888	8.437	11.444	25.816	49.32	22.332	39.03
Fh1	805	213	41	168.999	181	376	329	574
Ifi202b	285	45	11	75	106	71	87.236	211
Ifi211	85.224	28.518	7.162	36.529	33.004	55.863	99.542	163.59
Dusp23	79	73	7	18	37	34	50	93
Tagln2	2722	874	196	664	583	1632.001	1386	2380
Slamf9	328	43	22	44	113	119	89	128
Copa	14343.436	5508.49	1018.048	4432.032	3718.4	6297.77	5765.145	11344.33
Dcaf8	3790	1860	347.017	1661.001	1209	2018.001	1545.028	3692.044
Vangl2	76	31	10	65	26.001	91	45	117
Uck2	434	184	31	150	114	299	181	474
Tada1	1142.216	626.833	108.75	529.542	545.37	486.182	544.411	1402.206
Pou2f1	798.956	338	91.999	381	172.181	265.226	231.032	607.639
Mpc2	3189.999	1292.001	264	880	1101.001	1291.001	1117.001	2415
Dcaf6	311.001	124	27	118.001	85.001	69	209	206
Nme7	308.001	95.73	15	83.54	106.912	60.307	105.225	78.26
Blzf1	1337.001	759.999	174.999	568	897.999	767	709	1716.001
Ccdc181	153	84	9	30	63	69	46	206
F5	139.93	53	3	30.995	137.925	17	37	48
Sell	104	6	10	12	71	35	14	69
Scyl3	1799.304	661.632	120.905	575.075	671.424	802.966	703.206	1262.471
Kifap3	417	90	25	58	58	116	72	224
Ralgps2	315	135	28.999	86	130	77.001	90.001	90.999
Abl2	432	198.258	32	153	207.223	192.071	169.664	283
Soat1	56397	32112	5206	27591.998	25729.636	17577.999	18322.584	49598.492
Axdnd1	23.999	57.001	5	35	6	6	23	14
Smyd2	133.959	54.278	6.964	48.277	51.213	51.864	55.759	81.857
Kctd3	534.981	219.999	33	283	194.973	215	210.999	455.19
Eprs	6813.999	3428.001	659.998	2598.001	3217.002	2860.973	2694.001	6276.748
Bpnt1	630.675	241.694	33	160	170.394	304.501	263.999	500.18
Iars2	1427.658	485.565	111.905	555.239	501.972	603.776	431.079	1042.176
Lpgat1	950	402	87	252	492	345	304	848
Ppp2r5a	1849.093	819.256	183.124	721.463	879.051	571.941	621.401	1413.103
Pacc1	1617	620	80	520	555	693	532	1523
Atf3	3895	1055	241	903	1196	2131	1789	3190
Batf3	277	139.001	20	104	84	104.001	119	225
Tatdn3	117	16	5	11	58	29	46.001	77
Angel2	4470.001	2027.999	404.999	1895	1594	1482	1301.999	3214
Traf5	358.559	260.406	36	180.544	145.239	194.654	142.936	355.244
Usf1	1215.39	499.641	125.886	686.755	422.802	555.633	483.46	1093.811
Nmt2	5550	3205	513	2585	2659	1185	1291.001	3815
Dclre1c	1192	370	85	429.999	566	452.999	405.999	887.001
Fam107b	3713	981	279	1161	1354	1526	1603	2853
Fcgr2b	18815.102	6777.095	1343.391	5328.421	7665.55	8285.885	7809.478	16953.765
Frmd4a	293.294	98.085	16	54.001	250	113.999	117	275.002
Dusp12	490.82	186.618	54.752	180.493	236.983	305.741	301.088	451.46
Sephs1	1794	802.001	153	728	767	858.906	864.999	1771
Atf6	2572	813	172	816	860	1227	1160	2196
Phyh	1080.001	539	82	338	695	527	559	768
Uhmk1	1994.834	837.263	179.721	566.467	742.966	963.801	858.804	2462.216
Uap1	1373	407	96	406	432	495	370	1038
Optn	206	66	2	98	66	116	66	289.999
Hsd17b7	559	176	28	133	144	101	91	310.371
Aldh9a1	4588.001	1480	327	1210	1572	2124	1943.001	3111
Mgst3	194	80	18	89	83	46	75	77
Eef1aknmt	330	109.999	22.999	146	62	92.447	174.001	84.001
Vamp4	12377	6286.001	1045	5207	4878	3844	4086.999	9174.001
Pigc	1020	339	63	300.977	328.702	416	448.999	766
Tnfsf4	179	64	11	88	35	48	46	128
Prdx6	74318	25935.001	5063.999	22342.001	21411.992	35780.993	34324.996	61460.996
Klhl20	805	393.261	94	500.001	259	409.464	350.999	889.001
Nsun6	465	270	46.999	128	194	169	138	491
Cenpl	834	412.999	58	260	290.001	193	208.999	413
Dars2	346.001	256.08	44.999	295.001	155	325	263	577
Serpinc1	141.675	63.046	9	47.636	47.017	46.216	24.899	108.522
Stam	935	318	49	295	238	409.999	315.001	609
Rabgap1l	790	298.001	73	357.03	355.558	308	344.745	657.911
Trdmt1	411	166	31	186	223	215	158	354.999
Rsu1	4513.997	1499.001	322.999	1460.999	1331	1724.001	1628.999	3543
Vim	3516	1028	220	810	1595	2365.999	1988.999	3796
Pip4k2a	2376	822	142	941	776	723	697	1673
Bmi1	1056.816	433.966	72	501.979	440.872	361.994	306	806.847
Dnajc1	1328.726	400.589	91.59	492.422	417.577	468.912	466.116	984.18
Mllt10	1897.272	1093.412	174.41	869.578	755.422	702.088	591.885	1277.82
